unique_id,metric,winner
S10_D72,bias,AutoNBEATS
S13_D90,bias,AutoNBEATS
S13_D92,bias,AutoETS
S13_D95,bias,Chronos
S14_D92,bias,LightGBM
S14_D95,bias,AutoNBEATS
S19_D92,bias,AutoNBEATS
S1_D92,bias,AutoNBEATS
S1_D95,bias,AutoETS
S20_D92,bias,AutoARIMA
S20_D95,bias,Naive
S24_D92,bias,AutoARIMA
S27_D92,bias,AutoARIMA
S27_D95,bias,LightGBM
S2_D92,bias,AutoNBEATS
S2_D95,bias,AutoARIMA
S31_D92,bias,AutoNBEATS
S41_D92,bias,LightGBM
S4_D92,bias,AutoNHITS
S4_D95,bias,Chronos
S10_D72,bias,Naive
S13_D90,bias,AutoETS
S13_D92,bias,Chronos
S13_D95,bias,SeasonalNaive
S14_D92,bias,AutoNBEATS
S14_D95,bias,AutoNBEATS
S19_D92,bias,AutoARIMA
S1_D92,bias,LightGBM
S1_D95,bias,SeasonalNaive
S20_D92,bias,Chronos
S20_D95,bias,SeasonalNaive
S24_D92,bias,AutoNBEATS
S27_D92,bias,SeasonalNaive
S27_D95,bias,AutoARIMA_X
S2_D92,bias,LightGBM
S2_D95,bias,AutoARIMA_X
S31_D92,bias,AutoNBEATS
S41_D92,bias,AutoNHITS
S4_D92,bias,AutoNBEATS
S4_D95,bias,AutoARIMA
S10_D72,bias,Naive
S13_D90,bias,Chronos
S13_D92,bias,AutoNHITS
S13_D95,bias,AutoNHITS
S14_D92,bias,Chronos
S14_D95,bias,AutoNHITS
S19_D92,bias,AutoETS
S1_D92,bias,AutoETS
S1_D95,bias,AutoNHITS
S20_D92,bias,AutoARIMA
S20_D95,bias,AutoETS
S24_D92,bias,AutoNHITS
S27_D92,bias,Chronos
S27_D95,bias,AutoNHITS
S2_D92,bias,AutoNHITS
S2_D95,bias,LightGBM
S31_D92,bias,AutoARIMA
S41_D92,bias,Naive
S4_D92,bias,AutoNHITS
S4_D95,bias,Naive
S10_D72,bias,SeasonalNaive
S13_D90,bias,SeasonalNaive
S13_D92,bias,AutoARIMA
S13_D95,bias,AutoARIMA
S14_D92,bias,AutoARIMA
S14_D95,bias,AutoNBEATS
S19_D92,bias,AutoARIMA_X
S1_D92,bias,AutoARIMA
S1_D95,bias,SeasonalNaive
S20_D92,bias,AutoETS
S20_D95,bias,AutoARIMA
S24_D92,bias,AutoARIMA_X
S27_D92,bias,Chronos
S27_D95,bias,SeasonalNaive
S2_D92,bias,AutoARIMA
S2_D95,bias,AutoNBEATS
S31_D92,bias,LightGBM
S41_D92,bias,AutoARIMA_X
S4_D92,bias,LightGBM
S4_D95,bias,AutoARIMA
S10_D72,bias,AutoETS
S13_D90,bias,SeasonalNaive
S13_D92,bias,Chronos
S13_D95,bias,Chronos
S14_D92,bias,AutoARIMA
S14_D95,bias,AutoNHITS
S19_D92,bias,AutoETS
S1_D92,bias,AutoARIMA
S1_D95,bias,AutoETS
S20_D92,bias,AutoNBEATS
S20_D95,bias,AutoNHITS
S24_D92,bias,LightGBM
S27_D92,bias,SeasonalNaive
S27_D95,bias,Chronos
S2_D92,bias,AutoARIMA
S2_D95,bias,Chronos
S31_D92,bias,AutoETS
S41_D92,bias,AutoARIMA_X
S4_D92,bias,AutoNBEATS
S4_D95,bias,SeasonalNaive
S10_D72,mae,AutoNBEATS
S13_D90,mae,AutoNHITS
S13_D92,mae,Chronos
S13_D95,mae,LightGBM
S14_D92,mae,LightGBM
S14_D95,mae,AutoNBEATS
S19_D92,mae,Chronos
S1_D92,mae,AutoARIMA_X
S1_D95,mae,AutoARIMA
S20_D92,mae,Chronos
S20_D95,mae,Chronos
S24_D92,mae,AutoARIMA
S27_D92,mae,AutoARIMA
S27_D95,mae,AutoARIMA
S2_D92,mae,LightGBM
S2_D95,mae,LightGBM
S31_D92,mae,Chronos
S41_D92,mae,AutoARIMA_X
S4_D92,mae,AutoARIMA
S4_D95,mae,Chronos
S10_D72,mae,LightGBM
S13_D90,mae,AutoNBEATS
S13_D92,mae,AutoETS
S13_D95,mae,SeasonalNaive
S14_D92,mae,AutoNHITS
S14_D95,mae,AutoNBEATS
S19_D92,mae,AutoARIMA
S1_D92,mae,Chronos
S1_D95,mae,AutoETS
S20_D92,mae,Chronos
S20_D95,mae,SeasonalNaive
S24_D92,mae,Chronos
